Tow Date,Make,Style,Model,Color,Plate,State,Towed to Address
04/16/2019,CHRY,SD,,GRY,AD61345,IL,701 N. Sacramento
04/16/2019,CHRY,VN,,SIL,4945Y,IA,10300 S. Doty
04/16/2019,DODG,4D,,BLK,BC71607,IL,10300 S. Doty
04/16/2019,DODG,4D,,RED,A802178,IL,701 N. Sacramento
04/16/2019,DODG,LL,,RED,AV44896,IL,701 N. Sacramento
04/16/2019,DODG,VN,,RED,V156098,IL,701 N. Sacramento
04/16/2019,DODG,VN,,WHI,BA71978,IL,10300 S. Doty
04/16/2019,DODG,VN,,TAN,AC52420,IL,701 N. Sacramento
04/16/2019,FIAT,HB,,SIL,AX92843,IL,701 N. Sacramento
04/16/2019,FORD,4D,,RED,Z392061,IL,701 N. Sacramento
04/16/2019,FORD,4D,,GLD,704510,IL,10300 S. Doty
04/16/2019,FORD,LL,,WHI,HJN6542,OH,10300 S. Doty
04/16/2019,FORD,LL,,TAN,524U750,IL,701 N. Sacramento
04/16/2019,FORD,LL,TK,WHI,,,10300 S. Doty
04/16/2019,FORD,LL,,RED,AD50080,IL,10300 S. Doty
04/16/2019,FORD,LL,,BLK,AT86150,IL,701 N. Sacramento
04/16/2019,FORD,LL,,BLK,2184029B,IL,10300 S. Doty
04/16/2019,FORD,PK,,BLU,2524716,IL,10300 S. Doty
04/16/2019,GMC,LL,YUK,WHI,779T433,IL,10300 S. Doty
04/16/2019,HOND,2D,,BLK,V558361,IL,400 E. Lower Wacker
04/16/2019,HOND,4D,,BLU,8040752,IL,10300 S. Doty
04/16/2019,HOND,4D,,BLK,LA9A5P,MO,701 N. Sacramento
04/16/2019,HOND,4D,,BLU,636RGJ,WI,400 E. Lower Wacker
04/16/2019,HOND,4D,,SIL,AN71191,IL,701 N. Sacramento
04/16/2019,HOND,4D,,CPR,X899984,IL,701 N. Sacramento
04/16/2019,HOND,4D,,RED,BG59688,IL,701 N. Sacramento
04/16/2019,HYUN,4D,,BLU,4700431,IL,701 N. Sacramento
04/16/2019,HYUN,4D,,MAR,E748921,IL,10300 S. Doty
04/16/2019,HYUN,4D,,GRY,AS62940,IL,10300 S. Doty
04/16/2019,HYUN,4D,,SIL,AZ19057,IL,400 E. Lower Wacker
04/16/2019,HYUN,LL,,WHI,K687587,IL,701 N. Sacramento
04/16/2019,INFI,4D,,GLD,AJ77946,IL,10300 S. Doty
04/16/2019,INFI,LL,,MAR,AZ12622,IL,701 N. Sacramento
04/16/2019,INFI,LL,,BLK,FRC9564,OH,701 N. Sacramento
04/16/2019,JAGU,4D,,BLK,AV95618,IL,10300 S. Doty
04/16/2019,JEEP,LL,,BLU,AG26453,IL,701 N. Sacramento
04/16/2019,JEEP,LL,TK,WHI,Z420504,IL,701 N. Sacramento
04/16/2019,JEEP,LL,TK,BLK,BF38905,IL,701 N. Sacramento
04/16/2019,JEEP,LL,TK,GLD,,,701 N. Sacramento
04/16/2019,JEEP,LL,,GRY,AL22022,IL,10300 S. Doty
04/16/2019,JEEP,LL,TK,RED,,,701 N. Sacramento
04/16/2019,JEEP,LL,,MAR,G325847,IL,10300 S. Doty
04/16/2019,KIA,4D,,TAN,L686304,IL,701 N. Sacramento
04/16/2019,KIA,LL,,GRY,,,10300 S. Doty
04/16/2019,LEXS,4D,,WHI,490U636,IL,701 N. Sacramento
04/16/2019,LEXS,4D,,WHI,R6697P,WI,701 N. Sacramento
04/16/2019,LEXS,4D,,BLK,BF14325,IL,10300 S. Doty
04/16/2019,LEXS,LL,,BLK,BF71892,IL,701 N. Sacramento
04/16/2019,MERC,4D,SAB,SIL,,,10300 S. Doty
04/16/2019,MERZ,2D,,WHI,AX82884,IL,10300 S. Doty
04/16/2019,MERZ,4D,,BLK,AX90910,IL,701 N. Sacramento
04/16/2019,MERZ,4D,,BLK,J469308,IL,10300 S. Doty
04/16/2019,MERZ,4D,,SIL,AX91284,IL,701 N. Sacramento
04/16/2019,MERZ,4D,,WHI,AX90866,IL,701 N. Sacramento
04/16/2019,MERZ,4D,,SIL,AX91271,IL,701 N. Sacramento
04/16/2019,MERZ,SD,,BLK,BG78100,IL,10300 S. Doty
04/16/2019,NISS,4D,,SIL,AK07937,IL,10300 S. Doty
